#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	[*] Additional galaxy (G2)	[ucd=meta.code]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	Figure	(a11)	Figure number (2)	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	Notes	(a99)	Additional notes (Arm classifications in table9)	[ucd=meta.note]
#Column	S10	(I3)	Galaxies in S4G catalog version 2 (2013-09) (Sheth et al. 2010, J/PASP/122/1397)	[ucd=meta.ref.url]
#Column	Opt	(I3)	Display the available optical data from Knapen et al. 2014, J/A+A/569/A91, within 30"	[ucd=meta.code]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	f_Name	P1T	P2T	Figure	Simbad	NED	LEDA	<T>	<F>	<Type>	Notes	S10	Opt	AC	_RA	_DE
    1143	NGC 4096  	 	SAB(s)c sp                                   	(R')SAB(s)dm                                 	II.1.1013  	Simbad	NED	LEDA	 6.5	 0.50	(R')SAB(s)c\underline{d} sp                              	multi-armed spiral                                                                                 	  1	  1	M	181.50484	+47.47836
    1144	ESO 505-13	 	SAB(s)cd                                     	S\underline{A}B(s)dm                         	II.1.1014  	Simbad	NED	LEDA	 7.0	 0.38	SAB(s)d                                                  	face-on                                                                                            	  1	  0	 	181.53667	-22.85056
    1145	NGC 4100  	 	(R'L)S\underline{A}B(rs,nr?)ab sp            	(R')SAB(r\underline{s},nr)ab                 	II.1.1015  	Simbad	NED	LEDA	 2.0	 0.38	(\underline{R}'L)SAB(rs,nr)ab sp                         	grand-design spiral                                                                                	  1	  1	G	181.53584	+49.58231
    1146	UGC 7094  	 	dE/dI                                        	dIm sp                                       	II.1.1016  	Simbad	NED	LEDA	10.0	     	dIm sp                                                   	                                                                                                   	  1	  1	 	181.54489	+42.95579
    1147	NGC 4102  	 	(R')S\underline{A}B_a(l)ab /Sph              	(R')SAB(l)ab                                 	II.1.1017  	Simbad	NED	LEDA	 2.0	 0.38	(R')SAB_a_(l)ab                                          	multi-armed spiral; bar clear; embedded bright disk; dark-spacer                                   	  1	  1	M	181.59631	+52.71095
    1148	NGC 4105  	 	E2                                           	E1-2                                         	II.1.1018  	Simbad	NED	LEDA	-5.0	     	E1-2                                                     	                                                                                                   	  1	  0	 	181.66986	-29.76018
    1149	NGC 4106  	 	SAB(s)a                                      	SAB(s,nl)a                                   	II.1.1019  	Simbad	NED	LEDA	 1.0	 0.50	SAB(s,nl)a                                               	grand-design spiral; bar broad and diffuse                                                         	  1	  0	G	181.68625	-29.76833
    1150	NGC 4108  	 	SAB(rs)c                                     	SAB(rs)c                                     	II.1.1020  	Simbad	NED	LEDA	 5.0	 0.50	SAB(rs)c                                                 	flocculent spiral; face-on                                                                         	  1	  1	F	181.68587	+67.16322
    1151	NGC 4111  	 	S(nd)0^-^ sp                                 	S(nd)0^-^ sp/ E7                             	II.1.1021  	Simbad	NED	LEDA	-3.0	     	S(nd)0^-^ sp / E7                                        	faint thin disk; strong thick disk                                                                 	  1	  1	 	181.76303	+43.06539
    1152	NGC 4108B 	 	SA\underline{B}(rs)cd                        	                                             	II.1.1022  	Simbad	NED	LEDA	 6.0	 0.75	SA\underline{B}(rs)cd                                    	flocculent spiral                                                                                  	  1	  1	F	181.79765	+67.23517
    1153	IC 3005   	 	Sc sp                                        	Sc spw / E(d)7-8                             	II.1.1023  	Simbad	NED	LEDA	 5.0	     	Sc spw / E(d)7-8                                         	thick disk and limited extent inner thin disk misaligned                                           	  1	  0	 	181.80897	-30.02466
    1154	NGC 4116  	 	SB(rs)d                                      	SB(rs)dm                                     	II.1.1024  	Simbad	NED	LEDA	 7.5	 1.00	SB(rs)\underline{d}m                                     	flocculent spiral                                                                                  	  1	  1	F	181.90482	+02.69044
    1155	NGC 4117  	 	S0^-^ sp                                     	SA(l)0^-^                                    	I.1.090    	Simbad	NED	LEDA	-3.0	 0.00	SA:(l:)0^-^ sp                                           	                                                                                                   	  1	  1	 	181.94203	+43.12646
    1156	NGC 4118  	*	dE3-4:                                       	dIm / Sph                                    	I.1.091    	Simbad	NED	LEDA	10.0	     	dIm (dE3-4) / Sph                                        	                                                                                                   	  0	  0	 	181.97018	+43.11118
    1157	NGC 4123  	 	SB_x(rs)b                                    	SB_x(rs)ab                                   	II.1.1025  	Simbad	NED	LEDA	 2.5	 1.00	SB_x_(rs)a\underline{b}                                  	multi-armed spiral; excellent low inclination case with X                                          	  1	  1	M	182.04617	+02.87831
    1158	NGC 4127  	 	SA(s)bc                                      	SA(s)b                                       	II.1.1026  	Simbad	NED	LEDA	 3.5	 0.00	SA(s)\underline{b}c                                      	multi-armed spiral                                                                                 	  1	  0	M	182.10988	+76.80400
    1159	NGC 4120  	 	SB(rs:)d                                     	S\underline{A}B(s)d                          	II.1.1027  	Simbad	NED	LEDA	 7.0	 0.62	SAB(r\underline{s})d:                                    	flocculent spiral                                                                                  	  1	  1	F	182.12918	+69.54485
    1160	UGC 7125  	 	IAB(s)m sp                                   	SAB(s)m sp                                   	II.1.1028  	Simbad	NED	LEDA	 9.5	 0.50	S/IAB(s)m sp                                             	bar is a clump cluster                                                                             	  1	  1	 	182.17297	+36.80230
    1161	NGC 4133  	 	SB(s)ab                                      	(R'L)SB(r\underline{s})a                     	II.1.1029  	Simbad	NED	LEDA	 1.5	 1.00	(R'L)SB(s)\underline{a}b                                 	multi-armed spiral; excellent barred spiral                                                        	  1	  0	M	182.20801	+74.90429
    1162	NGC 4129  	 	SA(s)d sp                                    	SAB(s)d sp                                   	II.1.1030  	Simbad	NED	LEDA	 7.0	 0.25	S\underline{A}B(s)d sp                                   	highly inclined but not edge-on                                                                    	  1	  1	 	182.22166	-09.03647
    1163	UGC 7129  	 	SAB(s)a:                                     	(RL)SAB(s)ab                                 	II.1.1031  	Simbad	NED	LEDA	 1.5	 0.50	(RL)SAB(s)\underline{a}b:                                	small and high surface brightness                                                                  	  1	  1	 	182.22954	+41.74094
    1164	UGC 7133  	 	SAB(s)dm                                     	SAB(s)d                                      	II.1.1032  	Simbad	NED	LEDA	 7.5	 0.50	SAB(s)\underline{d}m                                     	flocculent spiral; bar foreshortened                                                               	  1	  1	F	182.33241	+18.99742
    1165	UGC 7153  	 	Sc sp                                        	SAB(s)d sp                                   	II.1.1033  	Simbad	NED	LEDA	 6.0	 0.50	SAB:(s:)cd sp                                            	highly inclined but not edge-on; suspect end-on bar                                                	  1	  1	 	182.44562	+62.26849
    1166	NGC 4136  	 	S\underline{A}B(rs)bc                        	S\underline{A}B(rs)bc                        	II.1.1034  	Simbad	NED	LEDA	 4.0	 0.25	S\underline{A}B(rs)bc                                    	flocculent spiral; face-on; (rs) very good                                                         	  1	  1	F	182.32376	+29.92759
    1167	ESO 441-11	 	SBm: sp                                      	SBm sp                                       	II.1.1035  	Simbad	NED	LEDA	 9.0	 1.00	SBm: sp                                                  	                                                                                                   	  1	  0	 	182.35486	-28.80150
    1168	NGC 4138  	 	SA(r)0^+^                                    	SA(r)0^+^                                    	II.1.1036  	Simbad	NED	LEDA	-1.0	 0.00	SA(r)0^+^                                                	excellent (r)                                                                                      	  1	  1	 	182.37412	+43.68532
    1169	NGC 4142  	 	SB(s)dm                                      	SA\underline{B}(s)m                          	II.1.1037  	Simbad	NED	LEDA	 8.5	 0.88	SB(s)d\underline{m}                                      	flocculent spiral                                                                                  	  1	  1	F	182.37633	+53.10422
    1170	ESO 505-23	 	IB(s)m:                                      	SB(s)d                                       	II.1.1038  	Simbad	NED	LEDA	 8.5	 1.00	SB(s)d\underline{m}:                                     	two dark streaks                                                                                   	  1	  0	 	182.40096	-23.41194
    1171	UGC 7143  	 	SA(s)b:                                      	SA(s)bc                                      	II.1.1039  	Simbad	NED	LEDA	 3.5	 0.00	SA(s)\underline{b}c:                                     	multi-armed spiral                                                                                 	  1	  1	M	182.44464	+25.02606
